5508,8245,7391,3499,4754,6059,1188,6904,683,1204,3342,5321,4106,5161,8012,8238,4137,2203,10783,9597,10047,4424,4633,4973,6336,10483,5831,12005,11829,3687,2823,2196,0,439,5852,6092,2618,5372,12631,5073,1862,2185,1279,2716,4597,2964,3244,4566,3371,7452,6074,4335,2877,2003,6245,6602,2636,4470,2882,1577,2271,1089,10150,9050,2549,5175,7678,3307,3121
5911,8528,7655,3265,4663,5895,1497,7224,997,1357,3589,5288,4192,5545,8318,8538,4428,2519,10996,9809,10328,4807,4970,5290,6102,10282,6114,11802,11611,4097,3167,2583,439,0,6188,6439,2427,5196,12433,5329,2298,2622,1702,3094,4373,3377,3533,4715,3734,7772,6374,4730,3312,2390,6517,6989,3069,4815,2954,1983,2072,933,9908,8846,2701,5456,7961,3560,3295
1726,2670,2135,9292,10147,11633,6044,1106,5194,4956,2845,10430,8789,1291,2257,2517,1896,3671,5695,4619,4395,1715,1219,966,12089,16102,1021,17615,17487,2678,6144,5583,5852,6188,0,341,8378,11001,18216,1621,4417,4612,4706,3193,10355,3243,2724,8763,6092,1634,751,1964,4564,3898,1314,1555,3857,1388,7905,5417,8055,6902,15887,14692,3964,1224,2148,7170,7575
1604,2620,2204,9508,10313,11813,6233,1016,5442,5230,3156,10571,8915,1286,2143,2413,2209,3929,5695,4654,4286,1833,1478,1285,12293,16278,1309,17788,17668,2793,6249,5717,6092,6439,341,0,8592,11189,18385,1960,4598,4759,4921,3406,10563,3401,3013,8858,6166,1492,978,2055,4663,4119,1535,1243,4001,1624,8063,5586,8274,7131,16083,14874,4273,1564,2135,7274,7704
7790,10841,10001,919,2343,3470,2437,9455,3301,3775,5960,3107,2632,7547,10580,10815,6737,4795,13400,12213,12642,6832,7168,7540,3727,7867,8430,9389,9210,5973,3480,3404,2618,2427,8378,8592,0,2769,10016,7688,4046,4071,3672,5187,1986,5267,5848,3407,4050,10000,8656,6692,4552,4480,8852,8949,4766,6991,1692,3177,355,1531,7540,6433,5126,7777,10274,3125,2473
10223,13532,12715,2006,1160,713,4957,12095,6049,6542,8704,1783,3034,10065,13235,13478,9445,7510,16152,14966,15327,9382,9811,10209,1279,5124,11132,6645,6492,8466,5377,5624,5372,5196,11001,11189,2769,0,7264,10420,6591,6486,6322,7817,1004,7798,8567,3731,5801,12634,11335,9208,6803,7132,11563,11410,7233,9623,3254,5617,3124,4291,4906,3699,7894,10486,12966,4571,3890
17302,20781,19976,9174,8072,6598,12184,19318,13310,13787,15967,7903,9620,17213,20464,20712,16705,14773,23414,22227,22571,16560,17043,17453,6372,2152,18389,649,1016,15618,12297,12704,12631,12433,18216,18385,10016,7264,0,17684,13800,13633,13574,15052,8066,14984,15830,9947,12580,19850,18581,16365,13843,14379,18823,18496,14391,16851,10327,12800,10368,11546,2813,3588,15133,17745,20216,11332,10772
2958,3227,2328,8571,9692,11092,5567,2205,4390,3991,1740,10105,8575,2337,3122,3303,1035,2914,5757,4578,5016,2205,1320,945,11409,15542,892,17064,16897,2918,6107,5425,5073,5329,1621,1960,7688,10420,17684,0,4080,4447,4149,2805,9670,3163,1858,8700,6215,2707,1271,2479,4650,3374,1211,3154,3775,1485,7539,5082,7344,6161,15222,14112,2763,403,2669,7103,7370
3756,7003,6250,4965,5734,7217,1639,5517,1494,1863,2601,6063,4497,3503,6664,6915,3046,1418,9805,8638,8781,2799,3250,3678,7708,11685,4656,13198,13072,1930,2126,1383,1862,2298,4417,4598,4046,6591,13800,4080,0,550,641,1286,5989,1222,2293,4641,2415,6051,4806,2647,1214,782,5108,4905,777,3053,3509,1016,3751,2695,11488,10277,2480,4046,6443,3062,3290
3748,7247,6538,4980,5564,7084,1638,5718,1944,2379,3068,5818,4192,3585,6869,7127,3413,1937,10120,8965,9003,2928,3500,3953,7647,11537,4955,13041,12933,1987,1669,988,2185,2622,4612,4759,4071,6486,13633,4447,550,0,1117,1649,5956,1372,2730,4256,1893,6239,5067,2733,713,1294,5412,4928,759,3295,3307,895,3807,2854,11391,10145,3024,4373,6696,2656,2975
4239,7210,6407,4587,5547,6976,1419,5788,854,1268,2518,5965,4497,3919,6920,7160,3142,1265,9905,8726,9005,3189,3500,3887,7385,11442,4816,12961,12814,2412,2420,1656,1279,1702,4706,4921,3672,6322,13574,4149,641,1117,0,1515,5649,1688,2295,4751,2818,6331,5012,3080,1822,811,5255,5351,1381,3320,3401,1081,3353,2226,11189,10021,2128,4177,6644,3239,3332
2850,5733,4967,6103,6997,8459,2867,4280,2106,2079,1496,7347,5781,2451,5419,5663,1770,820,8519,7353,7520,1713,1995,2404,8896,12928,3372,14444,14307,1141,3318,2620,2716,3094,3193,3406,5187,7817,15052,2805,1286,1649,1515,0,7162,631,1113,5896,3486,4822,3533,1653,1976,716,3823,3896,1060,1809,4789,2301,4868,3730,12696,11513,1877,2760,5171,4301,4570
9702,12828,11985,1108,1514,1693,4355,11436,5281,5729,7938,2385,3119,9491,12564,12800,8723,6781,15367,14181,14628,8786,9149,9525,1741,5914,10416,7433,7239,7904,5060,5177,4597,4373,10355,10563,1986,1004,8066,9670,5989,5956,5649,7162,0,7210,7833,3912,5553,11980,10642,8634,6358,6459,10837,10875,6680,8969,2938,5066,2327,3509,5554,4478,7070,9763,12261,4397,3687
2555,5875,5177,6186,6912,8415,2857,4349,2436,2545,2074,7188,5562,2281,5500,5757,2152,1406,8767,7620,7632,1583,2133,2593,8927,12878,3603,14387,14269,724,2975,2353,2964,3377,3243,3401,5267,7798,14984,3163,1222,1372,1688,631,7210,0,1668,5595,3052,4873,3699,1425,1489,1051,4061,3687,630,1927,4664,2186,4969,3889,12700,11477,2503,3045,5325,3991,4346
3027,5002,4153,6741,7834,9236,3714,3709,2563,2246,417,8258,6757,2461,4787,5005,895,1058,7614,6433,6803,1819,1548,1782,9574,13691,2587,15212,15050,1838,4395,3671,3244,3533,2724,3013,5848,8567,15830,1858,2293,2730,2295,1113,7833,1668,0,6933,4593,4256,2843,1934,3088,1543,3004,3829,2173,1453,5693,3266,5507,4328,13388,12262,1324,1931,4435,5353,5563
7560,11429,10769,3704,2576,3996,3476,9857,5021,5655,7223,2182,821,7598,11000,11268,7665,5988,14362,13214,13143,7048,7723,8188,4991,8001,9198,9416,9407,6085,2625,3276,4566,4715,8763,8858,3407,3731,9947,8700,4641,4256,4751,5896,3912,5595,6933,0,2725,10350,9283,6806,4199,5399,9656,8735,4965,7516,1854,3690,3538,3946,8157,6759,6844,8627,10892,1604,1454
4835,8762,8150,4819,4708,6272,2254,7174,3466,4037,4949,4683,2964,4893,8308,8579,5199,3827,11749,10623,10449,4383,5122,5597,7062,10567,6612,12025,11978,3434,603,1204,3371,3734,6092,6166,4050,5801,12580,6215,2415,1893,2818,3486,5553,3052,4593,2725,0,7654,6656,4128,1569,3185,7069,6010,2448,4913,2615,1850,3926,3467,10593,9248,4888,6086,8236,1258,1911
2959,1228,1295,10911,11781,13268,7678,548,6784,6501,4298,12055,10404,2763,659,935,3374,5254,4329,3391,2795,3320,2832,2482,13716,17736,1815,19249,19121,4283,7742,7203,7452,7772,1634,1492,10000,12634,19850,2707,6051,6239,6331,4822,11980,4873,4256,10350,7654,0,1455,3548,6155,5521,1611,2074,5481,3013,9537,7051,9673,8513,17517,16326,5398,2425,920,8767,9193
2474,2200,1494,9559,10530,11985,6398,936,5397,5079,2854,10864,9258,2000,1945,2164,1949,3871,5093,3977,3993,2289,1567,1129,12382,16453,406,17971,17827,3222,6658,6052,6074,6374,751,978,8656,11335,18581,1271,4806,5067,5012,3533,10642,3699,2843,9283,6656,1455,0,2562,5102,4203,564,2207,4327,1772,8315,5820,8321,7149,16192,15033,3946,970,1638,7681,8042
1199,4634,4050,7611,8297,9814,4279,3051,3752,3719,2302,8526,6862,858,4194,4462,1749,2402,7641,6538,6338,284,1168,1623,10347,14270,2589,15774,15666,747,4194,3673,4335,4730,1964,2055,6692,9208,16365,2479,2647,2733,3080,1653,8634,1425,1934,6806,4128,3548,2562,0,2609,2341,3030,2271,1978,994,6038,3591,6392,5300,14112,12876,3206,2205,4110,5219,5654
