TaskID,WaitTimeOrDetourTime
563,0.000000
564,7.928000
565,0.000000
566,9.583000
567,5.072000
568,6.583000
569,0.054000
570,0.000000
571,0.000000
572,0.000000
573,0.000000
574,8.583000
575,0.000000
576,8.928000
577,0.000000
578,6.928000
579,8.345000
580,0.000000
581,0.000000
582,1.000000
583,1.072000
584,7.511000
585,0.000000
586,5.928000
587,6.279000
588,8.511001
589,7.349000
590,5.000000
591,0.000000
592,4.000000
593,0.000000
594,4.000000
595,0.000000
596,6.928000
597,9.445001
598,0.000000
599,0.000000
600,5.928000
601,0.000000
602,0.000000
603,0.000000
604,4.000000
605,0.000000
606,8.000000
607,0.000000
608,7.511000
609,7.805000
610,7.511000
611,0.000000
612,2.000000
613,0.000000
614,9.928000
615,2.928000
616,4.000000
617,0.000000
