RequestID,Cost,Reward,Wait_Time,Detour_Time
201,0.000000,0.000000,0.000000,0.000000
202,0.000000,2.598090,0.000000,0.000000
203,0.000000,2.598090,0.000000,0.000000
204,0.000000,18.248400,0.000000,0.000000
<<<<<<< HEAD
205,0.759591,97.396233,1.786500,0.000000
=======
205,0.659591,91.987885,1.536500,0.000000
>>>>>>> origin/master
206,0.000000,3.968640,0.000000,0.000000
207,0.000000,9.124200,0.000000,0.000000
208,0.000000,3.000030,0.000000,0.000000
209,0.000000,7.937310,0.000000,0.000000
210,0.000000,0.000000,0.000000,0.000000
211,0.000000,0.000000,0.000000,0.000000
212,0.000000,6.000030,0.000000,0.000000
213,0.000000,0.000000,0.000000,0.000000
214,0.000000,23.430901,0.000000,0.000000
215,0.000000,0.000000,0.000000,0.000000
216,0.000000,30.996180,0.000000,0.000000
<<<<<<< HEAD
217,1.080479,61.337521,1.125000,0.000000
=======
217,1.180479,61.337521,1.125000,0.000000
>>>>>>> origin/master
218,0.000000,1.500000,0.000000,0.000000
219,0.000000,6.873900,0.000000,0.000000
220,0.000000,9.124200,0.000000,0.000000
221,0.000000,0.000000,0.000000,0.000000
222,0.000000,2.598090,0.000000,0.000000
223,0.000000,3.000000,0.000000,0.000000
224,0.000000,5.196180,0.000000,0.000000
225,0.000000,8.351700,0.000000,0.000000
226,0.000000,1.500000,0.000000,0.000000
227,0.000000,10.500060,0.000000,0.000000
228,0.000000,3.968640,0.000000,0.000000
229,0.000000,3.968640,0.000000,0.000000
230,0.000000,5.196180,0.000000,0.000000
231,0.000000,0.000000,0.000000,0.000000
<<<<<<< HEAD
232,0.542315,42.566940,0.750000,0.000000
=======
232,0.642315,50.504250,1.000000,0.000000
>>>>>>> origin/master
233,0.000000,0.000000,0.000000,0.000000
234,0.000000,2.598090,0.000000,0.000000
235,0.000000,0.000000,0.000000,0.000000
236,0.000000,0.000000,0.000000,0.000000
237,0.000000,0.000000,0.000000,0.000000
238,0.000000,5.408340,0.000000,0.000000
239,0.000000,33.908188,0.000000,0.000000
240,0.000000,6.538380,0.000000,0.000000
241,0.000000,0.000000,0.000000,0.000000
242,0.000000,0.000000,0.000000,0.000000
243,0.000000,2.598090,0.000000,0.000000
244,0.000000,0.000000,0.000000,0.000000
245,0.000000,28.618382,0.000000,0.000000
246,0.000000,0.000000,0.000000,0.000000
<<<<<<< HEAD
247,1.027416,36.875580,1.741000,0.000000
=======
247,1.002416,36.875580,1.741000,0.000000
>>>>>>> origin/master
248,0.000000,0.000000,0.000000,0.000000
249,0.000000,23.811901,0.000000,0.000000
250,0.000000,13.332359,0.000000,0.000000
251,0.000000,6.538380,0.000000,0.000000
252,0.000000,0.000000,0.000000,0.000000
253,0.000000,3.000030,0.000000,0.000000
254,0.000000,0.000000,0.000000,0.000000
255,0.000000,0.000000,0.000000,0.000000
256,0.000000,5.196180,0.000000,0.000000
257,0.000000,0.000000,0.000000,0.000000
258,0.000000,8.351700,0.000000,0.000000
259,0.000000,12.000060,0.000000,0.000000
260,0.000000,0.000000,0.000000,0.000000
261,0.000000,1.500000,0.000000,0.000000
<<<<<<< HEAD
262,0.966350,40.742222,1.500000,1.848000
=======
262,0.866350,31.374691,1.250000,1.848000
>>>>>>> origin/master
263,0.000000,17.036819,0.000000,0.000000
264,0.000000,3.000000,0.000000,0.000000
265,0.000000,0.000000,0.000000,0.000000
266,0.000000,0.000000,0.000000,0.000000
267,0.000000,0.000000,0.000000,0.000000
268,0.000000,0.000000,0.000000,0.000000
269,0.000000,12.278100,0.000000,0.000000
270,0.000000,0.000000,0.000000,0.000000
271,0.000000,0.000000,0.000000,0.000000
272,0.000000,18.432419,0.000000,0.000000
273,0.000000,9.367559,0.000000,0.000000
274,0.819435,35.275169,1.125000,0.000000
275,0.000000,16.904249,0.000000,0.000000
276,0.000000,1.500000,0.000000,0.000000
277,0.000000,0.000000,0.000000,0.000000
278,0.000000,7.937310,0.000000,0.000000
279,0.000000,19.843260,0.000000,0.000000
280,0.000000,0.000000,0.000000,0.000000
281,0.000000,0.000000,0.000000,0.000000
282,0.000000,4.500030,0.000000,0.000000
283,0.000000,16.904221,0.000000,0.000000
284,0.000000,6.873900,0.000000,0.000000
285,0.000000,9.836220,0.000000,0.000000
